"CHILDID","mm1","mm2","mm3","w1","w2","w3","POST","cons","Mob","PRE","RET","wM","wPRE","wRET"
"1073006C",41,0,0,1,0,0,137.93,1,0,49.74,0,0.144417806884185,-3.28509657739836,-2.72026663548123
"1073012C",41,0,0,1,0,0,129.22,1,0,55.88,0,0.144417806884185,-3.28509657739836,-2.72026663548123
"0746024C",1074,1903,0,0.5,0.5,0,141.88,1,1,84.48,0,-0.137745935805873,3.69750576178293,-2.72026663548123
"1078007C",42,0,0,1,0,0,87.76,1,0,37.64,0,-0.0500266375602594,-15.9759299107317,-2.72026663548123
"1078012C",42,0,0,1,0,0,94.85,1,0,39.6,0,-0.0500266375602594,-15.9759299107317,-2.72026663548123
"0187013C",194,1889,0,0.5,0.5,0,140.54,1,1,76.48,5,0.0610844735508517,0.49184786704609,2.27973336451877
"1078020C",42,0,0,1,0,0,125.33,1,0,51.28,0,-0.0500266375602594,-15.9759299107317,-2.72026663548123
"0187018C",194,1816,0,0.5,0.5,0,151.16,1,1,60.95,5,0.0610844735508517,0.49184786704609,2.27973336451877
"1082003C",43,0,0,1,0,0,144.71,1,0,65.51,2,-0.20082028835391,3.01573675593497,-0.72026663548123
"1082004C",43,0,0,1,0,0,131.14,1,0,63.2,2,-0.20082028835391,3.01573675593497,-0.72026663548123
"1082007C",43,0,0,1,0,0,133.46,1,0,66.69,2,-0.20082028835391,3.01573675593497,-0.72026663548123
"1082009C",43,0,0,1,0,0,151.54,1,0,56.49,2,-0.20082028835391,3.01573675593497,-0.72026663548123
"1082016C",43,0,0,1,0,0,119.91,1,0,65.22,2,-0.20082028835391,3.01573675593497,-0.72026663548123
"1082018C",43,0,0,1,0,0,96.43,1,0,56.17,2,-0.20082028835391,3.01573675593497,-0.72026663548123
"1082021C",43,0,0,1,0,0,141.33,1,0,83.66,2,-0.20082028835391,3.01573675593497,-0.72026663548123
"1082023C",43,0,0,1,0,0,130.59,1,0,79.25,2,-0.20082028835391,3.01573675593497,-0.72026663548123
"1082024C",43,0,0,1,0,0,127.96,1,0,75.13,2,-0.20082028835391,3.01573675593497,-0.72026663548123
"1083001C",44,0,0,1,0,0,163.5,1,0,92.54,4,0.127751140217518,7.12473675593498,1.27973336451877
"1083003C",44,0,0,1,0,0,126.43,1,0,54.22,4,0.127751140217518,7.12473675593498,1.27973336451877
"1083009C",44,0,0,1,0,0,164.55,1,0,90.55,4,0.127751140217518,7.12473675593498,1.27973336451877
"1083010C",44,0,0,1,0,0,167.56,1,0,58.45,4,0.127751140217518,7.12473675593498,1.27973336451877
"1083012C",44,0,0,1,0,0,129.24,1,0,56.61,4,0.127751140217518,7.12473675593498,1.27973336451877
"1083021C",44,0,0,1,0,0,138.98,1,0,51.58,4,0.127751140217518,7.12473675593498,1.27973336451877
"0502006C",563,0,0,1,0,0,127.7,1,0,53.63,3,-0.272248859782482,5.68779557946439,0.27973336451877
"1084009C",45,0,0,1,0,0,143.07,1,0,69.32,6,-0.0500266375602594,-12.0248187996206,3.27973336451877
